UUID        = 34bd1d96-98cf-4da9-a0d7-694940a2555b
ScanDate    = 20200921_115743
LogVersion  = EJA_1
LogDataType = ECG
SampleTime  = 1

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     17294871     ECG1   3767 
     17294872     ECG1   3767 
     17294873     ECG1   3767 
     17294874     ECG1   3767 
     17294875     ECG1   3767 
     17294876     ECG1   3767 
     17294877     ECG1   3767 
     17294878     ECG1   3767 
     17294879     ECG1   3767 
     17294880     ECG1   3767 
     17294881     ECG1   3767 
     17294882     ECG1   3767 
     17294883     ECG1   3767 
     17294884     ECG1   3767 
     17294885     ECG1   3767 
     17294886     ECG1   3767 
     17294871     ECG2    205 
     17294872     ECG2    205 
     17294873     ECG2    205 
     17294874     ECG2    205 
     17294875     ECG2    205 
     17294876     ECG2    205 
     17294877     ECG2    205 
     17294878     ECG2    205 
     17294879     ECG2    205 
     17294880     ECG2    205 
     17294881     ECG2    205 
     17294882     ECG2    205 
     17294883     ECG2    205 
     17294884     ECG2    205 
     17294885     ECG2    205 
     17294886     ECG2    205 
     17294871     ECG3   3759 
     17294872     ECG3   3759 
     17294873     ECG3   3759 
     17294874     ECG3   3759 
     17294875     ECG3   3759 
     17294876     ECG3   3759 
     17294877     ECG3   3759 
     17294878     ECG3   3759 
     17294879     ECG3   3759 
     17294880     ECG3   3759 
     17294881     ECG3   3759 
     17294882     ECG3   3759 
     17294883     ECG3   3759 
     17294884     ECG3   3759 
     17294885     ECG3   3759 
     17294886     ECG3   3759 
     17294871     ECG4   1659 
     17294872     ECG4   1659 
     17294873     ECG4   1659 
     17294874     ECG4   1659 
     17294875     ECG4   1659 
     17294876     ECG4   1659 
     17294877     ECG4   1659 
     17294878     ECG4   1659 
     17294879     ECG4   1659 
     17294880     ECG4   1659 
     17294881     ECG4   1659 
     17294882     ECG4   1659 
     17294883     ECG4   1659 
     17294884     ECG4   1659 
     17294885     ECG4   1659 
     17294886     ECG4   1659 
     17294887     ECG1   3767 
     17294888     ECG1   3767 
     17294889     ECG1   3767  PULS_TRIGGER
     17294890     ECG1   3767 
     17294891     ECG1   3767 
     17294892     ECG1   3767 
     17294893     ECG1   3767 
     17294894     ECG1   3767 
     17294895     ECG1   3767 
     17294896     ECG1   3767 
     17294897     ECG1   3767 
     17294898     ECG1   3767 
     17294899     ECG1   3767 
     17294900     ECG1   3767 
     17294901     ECG1   3767 
     17294902     ECG1   3767 
     17294903     ECG1   3767 
     17294904     ECG1   3767 
     17294905     ECG1   3767 
     17294906     ECG1   3767 
     17294907     ECG1   3767 
     17294908     ECG1   3767 
     17294909     ECG1   3767 
     17294910     ECG1   3767 
     17294911     ECG1   3767 
     17294912     ECG1   3767 
     17294913     ECG1   3767 
     17294914     ECG1   3767 
     17294915     ECG1   3767 
     17294916     ECG1   3767 
     17294917     ECG1   3767 
     17294918     ECG1   3767 
     17294919     ECG1   3767 
     17294920     ECG1   3767 
     17294921     ECG1   3767 
     17294922     ECG1   3767 
     17294923     ECG1   3767 
     17294924     ECG1   3767 
     17294925     ECG1   3767 
     17294926     ECG1   3767 
     17294887     ECG2    205 
     17294888     ECG2    205 
     17294889     ECG2    205  PULS_TRIGGER
     17294890     ECG2    205 
     17294891     ECG2    205 
     17294892     ECG2    205 
     17294893     ECG2    205 
     17294894     ECG2    205 
     17294895     ECG2    205 
     17294896     ECG2    205 
     17294897     ECG2    205 
     17294898     ECG2    205 
     17294899     ECG2    205 
     17294900     ECG2    205 
     17294901     ECG2    205 
     17294902     ECG2    205 
     17294903     ECG2    205 
     17294904     ECG2    205 
     17294905     ECG2    205 
     17294906     ECG2    205 
     17294907     ECG2    205 
     17294908     ECG2    205 
     17294909     ECG2    205 
     17294910     ECG2    205 
     17294911     ECG2    205 
     17294912     ECG2    205 
     17294913     ECG2    205 
     17294914     ECG2    205 
     17294915     ECG2    205 
     17294916     ECG2    205 
     17294917     ECG2    205 
     17294918     ECG2    205 
     17294919     ECG2    205 
     17294920     ECG2    205 
     17294921     ECG2    205 
     17294922     ECG2    205 
     17294923     ECG2    205 
     17294924     ECG2    205 
     17294925     ECG2    205 
     17294926     ECG2    205 
     17294887     ECG3   3759 
     17294888     ECG3   3759 
     17294889     ECG3   3759  PULS_TRIGGER
     17294890     ECG3   3759 
     17294891     ECG3   3759 
     17294892     ECG3   3759 
     17294893     ECG3   3759 
